Participant_ID,Visual_Factor,Auditory_Factor,Haptic_Factor,n,have,retention_rate
1,Baseline,No,No,1,1,1
1,Baseline,No,Yes,1,1,1
1,Baseline,Yes,No,1,1,1
1,Baseline,Yes,Yes,1,1,1
1,Flashing,No,No,1,1,1
1,Flashing,No,Yes,1,1,1
1,Flashing,Yes,No,1,1,1
1,Flashing,Yes,Yes,1,1,1
1,Transparent,No,No,1,1,1
1,Transparent,No,Yes,1,1,1
1,Transparent,Yes,No,1,1,1
1,Transparent,Yes,Yes,1,1,1
1,Transparent_Flashing,No,No,1,1,1
1,Transparent_Flashing,No,Yes,1,1,1
1,Transparent_Flashing,Yes,No,1,1,1
1,Transparent_Flashing,Yes,Yes,1,1,1
2,Baseline,No,No,1,1,1
2,Baseline,No,Yes,1,1,1
2,Baseline,Yes,No,1,1,1
2,Baseline,Yes,Yes,1,1,1
2,Flashing,No,No,1,1,1
2,Flashing,No,Yes,1,1,1
2,Flashing,Yes,No,1,1,1
2,Flashing,Yes,Yes,1,1,1
2,Transparent,No,No,1,1,1
2,Transparent,No,Yes,1,1,1
2,Transparent,Yes,No,1,1,1
2,Transparent,Yes,Yes,1,1,1
2,Transparent_Flashing,No,No,1,1,1
2,Transparent_Flashing,No,Yes,1,1,1
2,Transparent_Flashing,Yes,No,1,1,1
2,Transparent_Flashing,Yes,Yes,1,1,1
3,Baseline,No,No,1,1,1
3,Baseline,No,Yes,1,0,0
3,Baseline,Yes,No,1,0,0
3,Baseline,Yes,Yes,1,1,1
3,Flashing,No,No,1,1,1
3,Flashing,No,Yes,1,1,1
3,Flashing,Yes,No,1,1,1
3,Flashing,Yes,Yes,1,0,0
3,Transparent,No,No,1,1,1
3,Transparent,No,Yes,1,0,0
3,Transparent,Yes,No,1,1,1
3,Transparent,Yes,Yes,1,1,1
3,Transparent_Flashing,No,No,1,1,1
3,Transparent_Flashing,No,Yes,1,1,1
3,Transparent_Flashing,Yes,No,1,1,1
3,Transparent_Flashing,Yes,Yes,1,1,1
4,Baseline,No,No,1,1,1
4,Baseline,No,Yes,1,1,1
4,Baseline,Yes,No,1,1,1
4,Baseline,Yes,Yes,1,0,0
4,Flashing,No,No,1,1,1
4,Flashing,No,Yes,1,1,1
4,Flashing,Yes,No,1,1,1
4,Flashing,Yes,Yes,1,1,1
4,Transparent,No,No,1,1,1
4,Transparent,No,Yes,1,1,1
4,Transparent,Yes,No,1,1,1
4,Transparent,Yes,Yes,1,1,1
4,Transparent_Flashing,No,No,1,1,1
4,Transparent_Flashing,No,Yes,1,1,1
4,Transparent_Flashing,Yes,No,1,1,1
4,Transparent_Flashing,Yes,Yes,1,1,1
5,Baseline,No,No,1,1,1
5,Baseline,No,Yes,1,1,1
5,Baseline,Yes,No,1,1,1
5,Baseline,Yes,Yes,1,1,1
5,Flashing,No,No,1,1,1
5,Flashing,No,Yes,1,1,1
5,Flashing,Yes,No,1,1,1
5,Flashing,Yes,Yes,1,1,1
5,Transparent,No,No,1,1,1
5,Transparent,No,Yes,1,1,1
5,Transparent,Yes,No,1,1,1
5,Transparent,Yes,Yes,1,1,1
5,Transparent_Flashing,No,No,1,1,1
5,Transparent_Flashing,No,Yes,1,1,1
5,Transparent_Flashing,Yes,No,1,1,1
5,Transparent_Flashing,Yes,Yes,1,1,1
6,Baseline,No,No,1,1,1
6,Baseline,No,Yes,1,1,1
6,Baseline,Yes,No,1,1,1
6,Baseline,Yes,Yes,1,0,0
6,Flashing,No,No,1,0,0
6,Flashing,No,Yes,1,1,1
6,Flashing,Yes,No,1,0,0
6,Flashing,Yes,Yes,1,1,1
6,Transparent,No,No,1,1,1
6,Transparent,No,Yes,1,1,1
6,Transparent,Yes,No,1,0,0
6,Transparent,Yes,Yes,1,1,1
6,Transparent_Flashing,No,No,1,1,1
6,Transparent_Flashing,No,Yes,1,1,1
6,Transparent_Flashing,Yes,No,1,0,0
6,Transparent_Flashing,Yes,Yes,1,0,0
7,Baseline,No,No,1,1,1
7,Baseline,No,Yes,1,1,1
7,Baseline,Yes,No,1,1,1
7,Baseline,Yes,Yes,1,1,1
7,Flashing,No,No,1,1,1
7,Flashing,No,Yes,1,1,1
7,Flashing,Yes,No,1,1,1
7,Flashing,Yes,Yes,1,1,1
7,Transparent,No,No,1,1,1
7,Transparent,No,Yes,1,1,1
7,Transparent,Yes,No,1,1,1
7,Transparent,Yes,Yes,1,1,1
7,Transparent_Flashing,No,No,1,1,1
7,Transparent_Flashing,No,Yes,1,1,1
7,Transparent_Flashing,Yes,No,1,1,1
7,Transparent_Flashing,Yes,Yes,1,1,1
8,Baseline,No,No,1,1,1
8,Baseline,No,Yes,1,1,1
8,Baseline,Yes,No,1,1,1
8,Baseline,Yes,Yes,1,1,1
8,Flashing,No,No,1,1,1
8,Flashing,No,Yes,1,1,1
8,Flashing,Yes,No,1,1,1
8,Flashing,Yes,Yes,1,0,0
8,Transparent,No,No,1,1,1
8,Transparent,No,Yes,1,1,1
8,Transparent,Yes,No,1,1,1
8,Transparent,Yes,Yes,1,1,1
8,Transparent_Flashing,No,No,1,1,1
8,Transparent_Flashing,No,Yes,1,1,1
8,Transparent_Flashing,Yes,No,1,1,1
8,Transparent_Flashing,Yes,Yes,1,1,1
9,Baseline,No,No,1,0,0
9,Baseline,No,Yes,1,1,1
9,Baseline,Yes,No,1,0,0
9,Baseline,Yes,Yes,1,1,1
9,Flashing,No,No,1,1,1
9,Flashing,No,Yes,1,1,1
9,Flashing,Yes,No,1,0,0
9,Flashing,Yes,Yes,1,1,1
9,Transparent,No,No,1,1,1
9,Transparent,No,Yes,1,0,0
9,Transparent,Yes,No,1,1,1
9,Transparent,Yes,Yes,1,1,1
