Visual_Factor,Auditory_Factor,Haptic_Factor,response,SE,df,lower.CL,upper.CL
Baseline,No,No,336.2627713612575,36.499138892771924,250.33034110552376,271.5423278063695,416.40893453702296
Flashing,No,No,341.6995794229787,36.55109875334221,243.37752402388688,276.78186628824534,421.8433965476846
Transparent,No,No,382.6790292128663,40.36052558499473,236.68963066510298,310.8840505673495,471.05420536064616
Transparent_Flashing,No,No,738.722884971671,80.2321573013081,249.7608572789905,596.4623219647805,914.9136176502551
Baseline,Yes,No,282.6909559638533,34.007505315245645,295.8380211499011,223.0963092758183,358.20483468849227
Flashing,Yes,No,308.3183344345906,35.129365315896415,271.77538308623326,246.3660152946775,385.84946562056825
Transparent,Yes,No,282.3312091616663,32.17096091095134,271.71633435799856,225.5966110550787,353.33381691282324
Transparent_Flashing,Yes,No,323.95290360275374,36.9107465395342,271.77538308623326,258.85903331085564,405.41557468705116
Baseline,No,Yes,277.2623780166994,32.14234775140963,279.57767125322835,220.69079044221795,348.3354521021695
Flashing,No,Yes,438.4449460833197,48.34957345158704,256.8951039618381,352.86160028260207,544.7857477040503
Transparent,No,Yes,298.6369543707119,34.012504966773975,271.99436652169,238.65184237731805,373.6993170780185
Transparent_Flashing,No,Yes,617.4056629264751,65.11675621765903,236.68963066510298,501.57327337379184,759.9881669324969
Baseline,Yes,Yes,257.31973879762904,29.282124815617216,272.70743756039883,205.67306517139286,321.9354363183269
Flashing,Yes,Yes,275.70124568733144,32.537811326985846,287.7265747378123,218.55309876604298,347.79272086603925
Transparent,Yes,Yes,276.8001340632672,31.010378555314734,264.32677771229675,222.00672843048295,345.11708162680407
Transparent_Flashing,Yes,Yes,267.7465774005783,31.04074743135753,279.5510650699874,213.1141205699559,336.3842316876971
