Visual_Factor,Auditory_Factor,Haptic_Factor,response,SE,df,lower.CL,upper.CL
Baseline,No,No,0.9287380620325157,0.008541068071917417,130.08335492136203,0.9098786375422698,0.9438941942837756
Flashing,No,No,0.9299947418996702,0.008401802418593013,130.08335492136203,0.9114361823508362,0.9448994578410759
Transparent,No,No,0.9154400393870308,0.009989781415342243,130.08335492136203,0.8934650003651009,0.933221062510148
Transparent_Flashing,No,No,0.9257394916546149,0.008871723925256585,130.08335492136203,0.9061666743448187,0.9414931906712865
Baseline,Yes,No,0.965203827013271,0.004739064253164724,94.94019257306266,0.9544663588369262,0.9734796046321865
Flashing,Yes,No,0.9604280433195016,0.005362835035330499,94.94019257306266,0.9482957993685138,0.9698041390331168
Transparent,Yes,No,0.9635663151327141,0.004953666757390693,94.94019257306266,0.95234848714268,0.972220342721434
Transparent_Flashing,Yes,No,0.9639261941810687,0.00490656804278546,94.94019257306266,0.9528137457226475,0.972497180220939
Baseline,No,Yes,0.9548496619373995,0.005563618148090734,130.08335492136203,0.9424726136829266,0.964663623462739
Flashing,No,Yes,0.9621114202636111,0.004704299958113017,130.08335492136203,0.951624182030033,0.9703958900232637
Transparent,No,Yes,0.9592141792042118,0.0050487760455114805,130.08335492136203,0.9479683781661244,0.9681111439282996
Transparent_Flashing,No,Yes,0.9226488984252524,0.009210098618864227,130.08335492136203,0.9023474219970166,0.9390150472939786
Baseline,Yes,Yes,0.9618162350233306,0.005182185231340536,94.94019257306266,0.9500874743808718,0.9708733904424826
Flashing,Yes,Yes,0.9627720605187081,0.005057484476470798,94.94019257306266,0.9513220380358887,0.971609187303131
Transparent,Yes,Yes,0.9581765467132428,0.0056546731347658745,94.94019257306266,0.9453932703529423,0.9680683710104244
Transparent_Flashing,Yes,Yes,0.9683630036679414,0.004322903227746793,94.94019257306266,0.9585585438880523,0.9759061717048452
