Visual_Factor,Auditory_Factor,Haptic_Factor,response,SE,df,lower.CL,upper.CL
Baseline,No,No,3.383769243384799,0.07832012879852937,57.84278116288268,3.2305621622221437,3.544242059902392
Flashing,No,No,3.419764209508245,0.07868007642653012,56.53947281024936,3.2657577967430145,3.5810332475656725
Transparent,No,No,3.6401225778759843,0.08327289549623564,55.323500091012775,3.477028513612903,3.810866758810157
Transparent_Flashing,No,No,3.70402786272531,0.08577209560961274,57.924468062230396,3.5362502104534563,3.879765738094116
Baseline,Yes,No,3.4179446528376487,0.08277552235253416,68.55293583304328,3.2567192856000253,3.5871515550991346
Flashing,Yes,No,3.338525522070429,0.07890349164327022,62.56831406985488,3.1844946924638564,3.5000066691560776
Transparent,Yes,No,3.5030362715616823,0.08279606800002935,62.57921021015297,3.341407326755379,3.6724834537884936
Transparent_Flashing,Yes,No,3.4221206548563647,0.08087919852871664,62.56831406985488,3.2642329646180652,3.5876452150726936
Baseline,No,Yes,3.3491721014546982,0.07976142810181977,64.38760904197446,3.1935789999805544,3.5123457929898643
Flashing,No,Yes,3.4727154856521265,0.07944322410527377,55.323500091012974,3.317122021292795,3.6356072423250776
Transparent,No,Yes,3.6409621156603933,0.08602973146013786,62.515803363348496,3.4730161495255825,3.8170295089140525
Transparent_Flashing,No,Yes,3.6440421846135247,0.08492199867453687,59.33829685267458,3.478034170911211,3.8179738296716987
Baseline,Yes,Yes,3.379481118795558,0.07980215772907324,62.39547227985434,3.2236844922923438,3.54280720076745
Flashing,Yes,Yes,3.3812133951804055,0.08116956395430866,66.34482028461264,3.2229905471836715,3.547203709218911
Transparent,Yes,Yes,3.38386909872695,0.07938900674433419,60.861855982437504,3.2287801527227105,3.5464074776547734
Transparent_Flashing,Yes,Yes,3.381137222901993,0.08052509467615535,64.39420299403093,3.2240548247620495,3.545872989593824
