Visual_Factor,Auditory_Factor,Haptic_Factor,response,SE,df,lower.CL,upper.CL
Baseline,No,No,0.9808593433321781,0.02985527012751466,46.349860019557205,0.9227516594017573,1.0430174971136776
Flashing,No,No,0.9671482242850769,0.029631585655015807,47.84621660824668,0.9095351227517094,1.0288011476868526
Transparent,No,No,1.0528912331032505,0.032466423886030056,47.488131250663095,0.9897679616167057,1.1204711029960628
Transparent_Flashing,No,No,0.9540469185266045,0.0287133683057014,44.89915416090264,0.8980941057689138,1.013858209795503
Baseline,Yes,No,0.8454571732439543,0.02365329700963217,47.11834504160431,0.7993162642769063,0.894544875024705
Flashing,Yes,No,0.8296648771010375,0.022957712092949868,45.49028809609201,0.7848249351892972,0.877339000297466
Transparent,Yes,No,0.8883279455793452,0.02479538113219643,45.823176452471515,0.8399208223881055,0.9398216105065673
Transparent_Flashing,Yes,No,0.8284818848890577,0.0229540948808137,45.76998758694053,0.7836579792850844,0.8761421806117415
Baseline,No,Yes,0.9122906113594965,0.028973161092282977,40.04120047712122,0.8557506481770233,0.9729669602063693
Flashing,No,Yes,0.8776813737139874,0.028101041024629837,41.99096605564034,0.8229351662476279,0.9364604989244929
Transparent,No,Yes,0.8819801768363653,0.028042544365413567,40.78703411281478,0.8272884855861429,0.9406754123285767
Transparent_Flashing,No,Yes,0.9384010343761506,0.030131425651582503,41.36151482278029,0.8796795926768691,1.0014631350162273
Baseline,Yes,Yes,0.7991043926589141,0.023673548322523878,43.004434789526634,0.752894282071677,0.8484535230417516
Flashing,Yes,Yes,0.8110392488575782,0.023990212159714207,42.46980495375855,0.764192189366854,0.8610647402860009
Transparent,Yes,Yes,0.7925886592956418,0.02336705963733196,42.32909123942272,0.7469492938898578,0.8413142681402649
Transparent_Flashing,Yes,Yes,0.8330614646905437,0.024719850414115375,42.58116895933972,0.7847981309805168,0.8846098027998117
