Visual_Factor,Auditory_Factor,Haptic_Factor,response,SE,df,lower.CL,upper.CL
Baseline,No,No,45.14130553140889,2.6084582419348017,158.23875037557252,39.89536406761543,50.209957338244976
Flashing,No,No,49.26873793160632,2.5830818143385637,163.13156924733886,44.08421231849199,54.294188885023004
Transparent,No,No,39.97018670030048,2.7957213562865726,169.20213240872974,34.32751974127045,45.382528561357454
Transparent_Flashing,No,No,44.02777960155666,2.628432221078896,158.08883409539285,38.73826568312886,49.132659120856275
Baseline,Yes,No,72.17682670953423,2.0572541354515526,215.58963170049205,68.08668151731058,76.19854668278195
Flashing,Yes,No,71.25791302898152,2.065177332808715,215.58963170049205,67.15140200080991,75.29457867245695
Transparent,Yes,No,71.6274577792361,2.0619751072687804,215.58963170049205,67.52756272946473,75.6580842841584
Transparent_Flashing,Yes,No,71.7708189279841,2.0607386130075005,215.58963170049205,67.67347796621566,75.79911304018928
Baseline,No,Yes,62.482747145183765,2.5667162703564097,108.80847227704456,57.33050016788167,67.51041520770139
Flashing,No,Yes,65.57550709541592,2.530446753142687,108.78812054444776,60.50010993783997,70.53556645004706
Transparent,No,Yes,61.157094797977834,2.552033753005497,104.86312551525391,56.03105088122866,66.1571942132509
Transparent_Flashing,No,Yes,70.26401069861383,2.4479389761850645,104.86312551525316,65.35787798961651,75.06936423090882
Baseline,Yes,Yes,81.60986181471918,2.238885244805569,123.68916642970882,77.14118746986031,86.00626345539924
Flashing,Yes,Yes,79.65396035994233,2.2552381775512655,123.68916642970882,75.1514087766156,84.08137334578984
Transparent,Yes,Yes,80.82910262810142,2.2453513044010363,123.68916642970882,76.34703900268,85.23777121613091
Transparent_Flashing,Yes,Yes,80.59517422480741,2.2473044687233834,123.68916642970882,76.10906464043437,85.00754697294404
