contrast,Auditory_Factor,estimate,SE,df,lower.CL,upper.CL
(Baseline - Flashing) - (Baseline - Transparent),No,-0.5914908115674862,0.1895771106490581,367.1025132398722,-0.96428417662409,-0.2186974465108823
(Baseline - Flashing) - (Baseline - Transparent_Flashing),No,3.06596871877729e-4,0.18778283714300603,367.4390425395796,-0.3689573055714794,0.36957049931523483
(Baseline - Flashing) - (Flashing - Transparent),No,-0.909822409302135,0.328111439801803,365.8665504023093,-1.555043417711265,-0.2646014008930049
(Baseline - Flashing) - (Flashing - Transparent_Flashing),No,-0.3180250008627712,0.3271397871862203,366.3290457676929,-0.9613325889512516,0.32528258722570924
(Baseline - Flashing) - (Transparent - Transparent_Flashing),No,0.27346581070471493,0.26665727888145496,366.5808277452215,-0.2509040981572552,0.797835719566685
(Baseline - Transparent) - (Baseline - Transparent_Flashing),No,0.5917974084393638,0.18796295369620158,367.1025132398722,0.22217819768928293,0.9614166191894447
(Baseline - Transparent) - (Flashing - Transparent),No,-0.3183315977346488,0.18920892854218543,365.8665504023093,-0.6904051095504629,0.0537419140811653
(Baseline - Transparent) - (Flashing - Transparent_Flashing),No,0.27346581070471493,0.2666565715096644,366.3290457676929,-0.25090390091393727,0.7978355223233671
(Baseline - Transparent) - (Transparent - Transparent_Flashing),No,0.864956622272201,0.32730098553739034,366.5808277452215,0.22133350920138672,1.5085797353430155
(Baseline - Transparent_Flashing) - (Flashing - Transparent),No,-0.9101290061740126,0.2666256562617689,365.8665504023093,-1.4344401210345048,-0.3858178913135204
(Baseline - Transparent_Flashing) - (Flashing - Transparent_Flashing),No,-0.3183315977346489,0.18920892854218554,366.3290457676929,-0.6904035505600987,0.05374035509080083
(Baseline - Transparent_Flashing) - (Transparent - Transparent_Flashing),No,0.2731592138328372,0.1890955003548383,366.5808277452215,-0.0986888403556852,0.6450072680213597
(Flashing - Transparent) - (Flashing - Transparent_Flashing),No,0.5917974084393637,0.1890008530548431,365.8665504023093,0.22013307064030846,0.963461746238419
(Flashing - Transparent) - (Transparent - Transparent_Flashing),No,1.1832882200068497,0.32751711060047267,365.8665504023093,0.5392359416085994,1.8273404984051
(Flashing - Transparent_Flashing) - (Transparent - Transparent_Flashing),No,0.5914908115674862,0.1906073739721652,366.3290457676929,0.21666887053555306,0.9663127525994193
(Baseline - Flashing) - (Baseline - Transparent),Yes,0.07608208781926876,0.18259203678280803,364.58737651233895,-0.2829836918205536,0.43514786745909106
(Baseline - Flashing) - (Baseline - Transparent_Flashing),Yes,0.0713276325654273,0.18258987553451866,364.58737651233895,-0.28773389699692353,0.4303891621277781
(Baseline - Flashing) - (Flashing - Transparent),Yes,0.2174772123611874,0.31623536143303527,364.58737651233895,-0.40439709608798075,0.8393515208103555
(Baseline - Flashing) - (Flashing - Transparent_Flashing),Yes,0.2127227571073459,0.3162365074809907,364.58737651233895,-0.40915380503595855,0.8345993192506503
(Baseline - Flashing) - (Transparent - Transparent_Flashing),Yes,0.13664066928807714,0.2582396023052336,364.58737651233895,-0.37118544278877164,0.644466781364926
(Baseline - Transparent) - (Baseline - Transparent_Flashing),Yes,-0.0047544552538414525,0.18257425554891246,364.58737651233895,-0.3637852682394539,0.354276357731771
(Baseline - Transparent) - (Flashing - Transparent),Yes,0.14139512454191863,0.1825745434964913,364.58737651233895,-0.2176362546903041,0.5004265037741413
(Baseline - Transparent) - (Flashing - Transparent_Flashing),Yes,0.1366406692880771,0.2581989686359887,364.58737651233895,-0.3711055370032614,0.6443868755794155
(Baseline - Transparent) - (Transparent - Transparent_Flashing),Yes,0.060558581468808395,0.316234295877918,364.58737651233895,-0.5613136315747459,0.6824307945123628
(Baseline - Transparent_Flashing) - (Flashing - Transparent),Yes,0.1461495797957601,0.2581989686359887,364.58737651233895,-0.3615966264955784,0.6538957860870986
(Baseline - Transparent_Flashing) - (Flashing - Transparent_Flashing),Yes,0.14139512454191858,0.18257419073234354,364.58737651233895,-0.21763556098242962,0.5004258100662667
(Baseline - Transparent_Flashing) - (Transparent - Transparent_Flashing),Yes,0.06531303672264985,0.18258734116585323,364.58737651233895,-0.2937435090239947,0.42436958246929446
(Flashing - Transparent) - (Flashing - Transparent_Flashing),Yes,-0.004754455253841508,0.18257425554891252,364.58737651233895,-0.36378526823945406,0.3542763577317711
(Flashing - Transparent) - (Transparent - Transparent_Flashing),Yes,-0.08083654307311024,0.3162368247285216,364.58737651233895,-0.7027137290811463,0.5410406429349257
(Flashing - Transparent_Flashing) - (Transparent - Transparent_Flashing),Yes,-0.07608208781926873,0.1825878536780042,364.58737651233895,-0.4351396414169582,0.28297546577842075
