contrast,Auditory_Factor,estimate,SE,df,t.ratio,p.value
Baseline - Flashing,No,-11.944126950016907,7.087988509621607,367.4390425395796,-1.6851222224476412,0.3329968609568017
Baseline - Transparent,No,10.249212930178114,7.086715095644022,367.1025132398722,1.4462572280460348,0.4713362374067782
Baseline - Transparent_Flashing,No,-11.955630778057373,7.018542532361423,367.5132227151474,-1.7034349685752839,0.32332641603461887
Flashing - Transparent,No,22.19333988019502,7.1128995755799505,365.8665504023093,3.1201536932124454,0.010478779744016342
Flashing - Transparent_Flashing,No,-0.011503828040465791,7.04580399327317,366.3290457676929,-0.0016327204179180722,0.9999999984335107
Transparent - Transparent_Flashing,No,-22.204843708235487,7.052329679732715,366.5808277452215,-3.1485827686202352,0.009569947609552987
Baseline - Flashing,Yes,5.305289608887306,6.850370082418377,364.58737651233895,0.7744529923286111,0.8659813469450068
Baseline - Transparent,Yes,2.4506119017337333,6.850370082418376,364.58737651233895,0.3577342351215859,0.9842971811133534
Baseline - Transparent_Flashing,Yes,2.6290039229285442,6.850370082418376,364.58737651233895,0.38377545903336524,0.9807516487852284
Flashing - Transparent,Yes,-2.8546777071535727,6.850370082418376,364.58737651233895,-0.4167187572070252,0.9755983558728021
Flashing - Transparent_Flashing,Yes,-2.676285685958762,6.850370082418376,364.58737651233895,-0.39067753329524596,0.9797348160547151
Transparent - Transparent_Flashing,Yes,0.17839202119481,6.850370082418376,364.58737651233895,0.026041223911779165,0.9999936456698025
