contrast,Auditory_Factor,estimate,SE,df,t.ratio,p.value,adjust_method
No - Yes,No,-67.24432087557643,6.125908320025649,66.47830450068236,-10.97703676951125,1.423050960863556e-16,HOLM
No - Yes,Yes,-32.88831108718239,5.946817176098757,61.42996847468706,-5.530405612495699,6.957593089552443e-7,HOLM
Baseline - Flashing,No,-11.944126950016908,7.087988509621607,367.4390425395796,-1.6851222224476412,0.3329968609568017,TUKEY
Baseline - Transparent,No,10.249212930178114,7.086715095644022,367.1025132398722,1.4462572280460348,0.4713362374067782,TUKEY
Baseline - Transparent_Flashing,No,-11.955630778057373,7.018542532361423,367.5132227151474,-1.703434968575284,0.32332641603461887,TUKEY
Flashing - Transparent,No,22.19333988019502,7.1128995755799505,365.8665504023093,3.1201536932124454,0.01047877974401634,TUKEY
Flashing - Transparent_Flashing,No,-0.01150382804046579,7.04580399327317,366.3290457676929,-0.00163272041791807,0.9999999984335108,TUKEY
Transparent - Transparent_Flashing,No,-22.204843708235487,7.052329679732715,366.5808277452215,-3.1485827686202352,0.00956994760955298,TUKEY
Baseline - Flashing,Yes,5.305289608887306,6.850370082418377,364.58737651233895,0.7744529923286111,0.8659813469450068,TUKEY
Baseline - Transparent,Yes,2.4506119017337333,6.850370082418376,364.58737651233895,0.3577342351215859,0.9842971811133534,TUKEY
Baseline - Transparent_Flashing,Yes,2.629003922928544,6.850370082418376,364.58737651233895,0.3837754590333653,0.9807516487852284,TUKEY
Flashing - Transparent,Yes,-2.8546777071535727,6.850370082418376,364.58737651233895,-0.4167187572070252,0.975598355872802,TUKEY
Flashing - Transparent_Flashing,Yes,-2.676285685958762,6.850370082418376,364.58737651233895,-0.3906775332952459,0.9797348160547152,TUKEY
Transparent - Transparent_Flashing,Yes,0.17839202119481,6.850370082418376,364.58737651233895,0.02604122391177916,0.9999936456698024,TUKEY
