Visual_Factor,Auditory_Factor,Haptic_Factor,response,SE,df,lower.CL,upper.CL
Baseline,No,No,3.584795785788341,0.25655981312626014,48.257787260770186,3.0417885230529778,4.078788964498997
Flashing,No,No,3.8780499138099174,0.24838907540073799,51.765892919737354,3.3563856810882418,4.357532596367203
Transparent,No,No,3.605632362441347,0.25714896855120173,49.357532735049084,3.061815270436544,4.100557036988868
Transparent_Flashing,No,No,4.108625883009334,0.23479438961947854,48.257787260770186,3.6172263204250985,4.564418451162729
Baseline,Yes,No,5.659258580372394,0.15336353767686461,71.23677592816718,5.347873292239875,5.9598807948013395
Flashing,Yes,No,5.528699921713688,0.15433103136773477,69.05358055976694,5.2149982778882995,5.83123114347971
Transparent,Yes,No,5.8648531597133395,0.148522098778501,69.05358055976694,5.563500670090028,6.156457332465116
Transparent_Flashing,Yes,No,5.637581378011505,0.15238698797989347,69.05358055976694,5.328021465513705,5.936462425371432
Baseline,No,Yes,5.0704461432678505,0.19544894300354795,51.24966537354359,4.66761197668728,5.453457802019826
Flashing,No,Yes,5.040719845271968,0.1961973670030869,51.24966537354343,4.636233557633708,5.425111922764872
Transparent,No,Yes,4.892401953085243,0.2000432741903162,51.24966537354359,4.47939998528964,5.2838704786848245
Transparent_Flashing,No,Yes,5.228323743347325,0.1927986059348388,52.460063011538246,4.831656105130727,5.606313461845221
Baseline,Yes,Yes,5.9487077333836185,0.16212891515499578,57.853169124056244,5.6181445254016715,6.267735193700066
Flashing,Yes,Yes,5.98113708028997,0.1615569874068271,57.853169124056244,5.651795821247878,6.299086400110888
Transparent,Yes,Yes,6.02747909502832,0.16074851673328244,57.853169124056244,5.699863904066732,6.343903416104099
Transparent_Flashing,Yes,Yes,6.05416253379043,0.1602876412967645,57.853169124056244,5.727530643904441,6.369717020210135
