contrast,Auditory_Factor,estimate,SE,df,lower.CL,upper.CL
(Baseline - Flashing) - (Baseline - Transparent),No,-0.3103879355282294,0.18622011802767352,371.3826516115053,-0.6765659935423181,0.055790122485859184
(Baseline - Flashing) - (Baseline - Transparent_Flashing),No,0.32435076277820307,0.18688237347000705,371.4100739962955,-0.04312944720399092,0.6918309727603971
(Baseline - Flashing) - (Flashing - Transparent),No,-0.48707751891135936,0.3234203786099068,371.53360626974205,-1.1230415065915393,0.14888646876882067
(Baseline - Flashing) - (Flashing - Transparent_Flashing),No,0.14766117939507312,0.32386792244724183,371.89474647059933,-0.4891808238400111,0.7845031826301574
(Baseline - Flashing) - (Transparent - Transparent_Flashing),No,0.45804911492330247,0.26245491217551914,371.76623926145874,-0.0580331799618764,0.9741314098084813
(Baseline - Transparent) - (Baseline - Transparent_Flashing),No,0.6347386983064325,0.18489308300544632,371.3826516115053,0.27117008503173357,0.9983073115811314
(Baseline - Transparent) - (Flashing - Transparent),No,-0.17668958338312996,0.18573073773510296,371.3826516115053,-0.5419053376082303,0.18852617084197043
(Baseline - Transparent) - (Flashing - Transparent_Flashing),No,0.4580491149233025,0.26208829469806616,371.3826516115053,-0.05731401445942136,0.9734122443060265
(Baseline - Transparent) - (Transparent - Transparent_Flashing),No,0.7684370504515319,0.3194742212699006,371.3826516115053,0.1402318319756699,1.3966422689273938
(Baseline - Transparent_Flashing) - (Flashing - Transparent),No,-0.8114282816895624,0.2615045213041669,371.4100739962955,-1.3256433711911477,-0.29721319218797704
(Baseline - Transparent_Flashing) - (Flashing - Transparent_Flashing),No,-0.17668958338312996,0.185730737735103,371.4100739962955,-0.5419052494501995,0.1885260826839395
(Baseline - Transparent_Flashing) - (Transparent - Transparent_Flashing),No,0.1336983521450994,0.18361168725284988,371.4100739962955,-0.22735047302776323,0.49474717731796203
(Flashing - Transparent) - (Flashing - Transparent_Flashing),No,0.6347386983064325,0.18448866426697233,371.53360626974205,0.27196580467090525,0.9975115919419597
(Flashing - Transparent) - (Transparent - Transparent_Flashing),No,0.9451266338346618,0.3205178845213613,371.53360626974205,0.31487002217915683,1.5753832454901668
(Flashing - Transparent_Flashing) - (Transparent - Transparent_Flashing),No,0.31038793552822935,0.18650118268735405,371.76623926145874,-0.05634156312074856,0.6771174341772073
(Baseline - Flashing) - (Baseline - Transparent),Yes,0.34763069058480695,0.1826666857016583,371.4976883998344,-0.011559633351768961,0.7068210145213829
(Baseline - Flashing) - (Baseline - Transparent_Flashing),Yes,0.1657511871423382,0.18257434816221632,371.4976883998344,-0.19325756701003613,0.5247599412947125
(Baseline - Flashing) - (Flashing - Transparent),Yes,0.4341622628014137,0.3168784038281177,371.0141921531176,-0.188940635604272,1.0572651612070993
(Baseline - Flashing) - (Flashing - Transparent_Flashing),Yes,0.2522827593589449,0.3167701072686166,371.0141921531176,-0.37060718701436074,0.8751727057322505
(Baseline - Flashing) - (Transparent - Transparent_Flashing),Yes,-0.09534793122586213,0.25886886429430955,371.0141921531176,-0.6043821150014985,0.4136862525497742
(Baseline - Transparent) - (Baseline - Transparent_Flashing),Yes,-0.18187950344246875,0.18267459473463313,371.4976883998344,-0.5410853794656517,0.17732637258071418
(Baseline - Transparent) - (Flashing - Transparent),Yes,0.08653157221660673,0.18351560651584298,371.0141921531176,-0.27432958127722595,0.4473927257104394
(Baseline - Transparent) - (Flashing - Transparent_Flashing),Yes,-0.09534793122586205,0.25886886429430955,371.0141921531176,-0.6043821150014984,0.4136862525497743
(Baseline - Transparent) - (Transparent - Transparent_Flashing),Yes,-0.44297862181066905,0.3167701072686166,371.0141921531176,-1.0658685681839746,0.1799113245626366
(Baseline - Transparent_Flashing) - (Flashing - Transparent),Yes,0.2684110756590755,0.25900363296999274,371.0141921531176,-0.24088811435055468,0.7777102656687057
(Baseline - Transparent_Flashing) - (Flashing - Transparent_Flashing),Yes,0.0865315722166067,0.18351560651584298,371.0141921531176,-0.27432958127722595,0.4473927257104394
(Baseline - Transparent_Flashing) - (Transparent - Transparent_Flashing),Yes,-0.2610991183682003,0.18352482310270102,371.0141921531176,-0.6219783951607977,0.09978015842439703
(Flashing - Transparent) - (Flashing - Transparent_Flashing),Yes,-0.18187950344246878,0.18267459473463318,371.0141921531176,-0.541086909403701,0.17732790251876335
(Flashing - Transparent) - (Transparent - Transparent_Flashing),Yes,-0.5295101940272758,0.3162759212728397,371.0141921531176,-1.1514283836554071,0.09240799560085544
(Flashing - Transparent_Flashing) - (Transparent - Transparent_Flashing),Yes,-0.347630690584807,0.1825749756061213,371.0141921531176,-0.7066422076278847,0.011380826458270654
