"DV","Visual_Factor","Auditory_Factor","Haptic_Factor","response","SE","df","lower.CL","upper.CL"
"DALI","Baseline","No","No",22.0665890912735,1.01062268785674,67.1742628675334,20.058927113097,24.0927070998136
"DALI","Flashing","No","No",21.5725051108592,1.00833671534118,67.1742628675334,19.5695836602159,23.5942207327924
"DALI","Transparent","No","No",22.3963982678519,1.01212310939539,67.1742628675334,20.385626857709,24.4254075026238
"DALI","Transparent_Flashing","No","No",21.6765611695371,1.00882203909202,67.1742628675334,19.6726329594576,23.6992111806869
"DALI","Baseline","Yes","No",16.0180274723997,0.978593060514234,67.1974962403112,14.0771698279812,17.982741661215
"DALI","Flashing","Yes","No",16.3172293998922,0.980405796371493,67.1974962403109,14.3725656864535,18.2853977464705
"DALI","Transparent","Yes","No",14.5660863091326,0.969338620307822,67.1974962403112,12.6447141545442,16.5132073277369
"DALI","Transparent_Flashing","Yes","No",16.1077400920463,0.979139767428534,67.1974962403112,14.1657342119227,18.073495758081
"DALI","Baseline","No","Yes",17.4987590546003,1.02621494039342,62.3962939410986,15.4600605085065,19.5615373217459
"DALI","Flashing","No","Yes",16.6075544787695,1.02086467598395,62.3962939410989,14.580100856022,18.6601200204443
"DALI","Transparent","No","Yes",16.9540858183008,1.02297505984515,62.3962939410986,14.9221933591031,19.0106771789237
"DALI","Transparent_Flashing","No","Yes",16.2531923836922,1.01866521343153,62.3962939410986,14.2303697144468,18.3015657730885
"DALI","Baseline","Yes","Yes",14.9511673694858,1.05440734928868,57.9786021898305,12.8560201994985,17.0761779831863
"DALI","Flashing","Yes","Yes",13.9542053463403,1.04715609518386,57.9786021898305,11.8744960190811,16.0654826680205
"DALI","Transparent","Yes","Yes",13.6343070421438,1.04473037313627,57.9786021898305,11.5597763461227,15.7410004391354
"DALI","Transparent_Flashing","Yes","Yes",14.465599385861,1.05093185772932,57.9786021898307,12.3778436922946,16.5840220939634
"DURVISIT","Baseline","No","No",336.262771361257,36.4991388927719,250.330341105524,271.54232780637,416.408934537023
"DURVISIT","Flashing","No","No",341.699579422979,36.5510987533422,243.377524023887,276.781866288245,421.843396547685
"DURVISIT","Transparent","No","No",382.679029212866,40.3605255849947,236.689630665103,310.88405056735,471.054205360646
"DURVISIT","Transparent_Flashing","No","No",738.722884971671,80.2321573013081,249.76085727899,596.46232196478,914.913617650255
"DURVISIT","Baseline","Yes","No",282.690955963853,34.0075053152456,295.838021149901,223.096309275818,358.204834688492
"DURVISIT","Flashing","Yes","No",308.318334434591,35.1293653158964,271.775383086233,246.366015294678,385.849465620568
"DURVISIT","Transparent","Yes","No",282.331209161666,32.1709609109513,271.716334357999,225.596611055079,353.333816912823
"DURVISIT","Transparent_Flashing","Yes","No",323.952903602754,36.9107465395342,271.775383086233,258.859033310856,405.415574687051
"DURVISIT","Baseline","No","Yes",277.262378016699,32.1423477514096,279.577671253228,220.690790442218,348.33545210217
"DURVISIT","Flashing","No","Yes",438.44494608332,48.349573451587,256.895103961838,352.861600282602,544.78574770405
"DURVISIT","Transparent","No","Yes",298.636954370712,34.012504966774,271.99436652169,238.651842377318,373.699317078019
"DURVISIT","Transparent_Flashing","No","Yes",617.405662926475,65.116756217659,236.689630665103,501.573273373792,759.988166932497
"DURVISIT","Baseline","Yes","Yes",257.319738797629,29.2821248156172,272.707437560399,205.673065171393,321.935436318327
"DURVISIT","Flashing","Yes","Yes",275.701245687331,32.5378113269858,287.726574737812,218.553098766043,347.792720866039
"DURVISIT","Transparent","Yes","Yes",276.800134063267,31.0103785553147,264.326777712297,222.006728430483,345.117081626804
"DURVISIT","Transparent_Flashing","Yes","Yes",267.746577400578,31.0407474313575,279.551065069987,213.114120569956,336.384231687697
"NDRT","Baseline","No","No",0.928738062032516,0.00854106807191742,130.083354921362,0.90987863754227,0.943894194283776
"NDRT","Flashing","No","No",0.92999474189967,0.00840180241859301,130.083354921362,0.911436182350836,0.944899457841076
"NDRT","Transparent","No","No",0.915440039387031,0.00998978141534224,130.083354921362,0.893465000365101,0.933221062510148
"NDRT","Transparent_Flashing","No","No",0.925739491654615,0.00887172392525658,130.083354921362,0.906166674344819,0.941493190671286
"NDRT","Baseline","Yes","No",0.965203827013271,0.00473906425316472,94.9401925730627,0.954466358836926,0.973479604632186
"NDRT","Flashing","Yes","No",0.960428043319502,0.0053628350353305,94.9401925730627,0.948295799368514,0.969804139033117
"NDRT","Transparent","Yes","No",0.963566315132714,0.00495366675739069,94.9401925730627,0.95234848714268,0.972220342721434
"NDRT","Transparent_Flashing","Yes","No",0.963926194181069,0.00490656804278546,94.9401925730627,0.952813745722648,0.972497180220939
"NDRT","Baseline","No","Yes",0.9548496619374,0.00556361814809073,130.083354921362,0.942472613682927,0.964663623462739
"NDRT","Flashing","No","Yes",0.962111420263611,0.00470429995811302,130.083354921362,0.951624182030033,0.970395890023264
"NDRT","Transparent","No","Yes",0.959214179204212,0.00504877604551148,130.083354921362,0.947968378166124,0.9681111439283
"NDRT","Transparent_Flashing","No","Yes",0.922648898425252,0.00921009861886423,130.083354921362,0.902347421997017,0.939015047293979
"NDRT","Baseline","Yes","Yes",0.961816235023331,0.00518218523134054,94.9401925730627,0.950087474380872,0.970873390442483
"NDRT","Flashing","Yes","Yes",0.962772060518708,0.0050574844764708,94.9401925730627,0.951322038035889,0.971609187303131
"NDRT","Transparent","Yes","Yes",0.958176546713243,0.00565467313476587,94.9401925730627,0.945393270352942,0.968068371010424
"NDRT","Transparent_Flashing","Yes","Yes",0.968363003667941,0.00432290322774679,94.9401925730627,0.958558543888052,0.975906171704845
"PUPIL","Baseline","No","No",3.3837692433848,0.0783201287985294,57.8427811628827,3.23056216222214,3.54424205990239
"PUPIL","Flashing","No","No",3.41976420950824,0.0786800764265301,56.5394728102494,3.26575779674301,3.58103324756567
"PUPIL","Transparent","No","No",3.64012257787598,0.0832728954962356,55.3235000910128,3.4770285136129,3.81086675881016
"PUPIL","Transparent_Flashing","No","No",3.70402786272531,0.0857720956096127,57.9244680622304,3.53625021045346,3.87976573809412
"PUPIL","Baseline","Yes","No",3.41794465283765,0.0827755223525342,68.5529358330433,3.25671928560003,3.58715155509913
"PUPIL","Flashing","Yes","No",3.33852552207043,0.0789034916432702,62.5683140698549,3.18449469246386,3.50000666915608
"PUPIL","Transparent","Yes","No",3.50303627156168,0.0827960680000294,62.579210210153,3.34140732675538,3.67248345378849
"PUPIL","Transparent_Flashing","Yes","No",3.42212065485636,0.0808791985287166,62.5683140698549,3.26423296461807,3.58764521507269
"PUPIL","Baseline","No","Yes",3.3491721014547,0.0797614281018198,64.3876090419745,3.19357899998055,3.51234579298986
"PUPIL","Flashing","No","Yes",3.47271548565213,0.0794432241052738,55.323500091013,3.3171220212928,3.63560724232508
"PUPIL","Transparent","No","Yes",3.64096211566039,0.0860297314601379,62.5158033633485,3.47301614952558,3.81702950891405
"PUPIL","Transparent_Flashing","No","Yes",3.64404218461352,0.0849219986745369,59.3382968526746,3.47803417091121,3.8179738296717
"PUPIL","Baseline","Yes","Yes",3.37948111879556,0.0798021577290732,62.3954722798543,3.22368449229234,3.54280720076745
"PUPIL","Flashing","Yes","Yes",3.38121339518041,0.0811695639543087,66.3448202846126,3.22299054718367,3.54720370921891
"PUPIL","Transparent","Yes","Yes",3.38386909872695,0.0793890067443342,60.8618559824375,3.22878015272271,3.54640747765477
"PUPIL","Transparent_Flashing","Yes","Yes",3.38113722290199,0.0805250946761553,64.3942029940309,3.22405482476205,3.54587298959382
"RT","Baseline","No","No",0.980859343332178,0.0298552701275147,46.3498600195572,0.922751659401757,1.04301749711368
"RT","Flashing","No","No",0.967148224285077,0.0296315856550158,47.8462166082467,0.90953512275171,1.02880114768685
"RT","Transparent","No","No",1.05289123310325,0.0324664238860301,47.4881312506631,0.989767961616706,1.12047110299606
"RT","Transparent_Flashing","No","No",0.954046918526604,0.0287133683057014,44.8991541609026,0.898094105768914,1.0138582097955
"RT","Baseline","Yes","No",0.845457173243954,0.0236532970096322,47.1183450416043,0.799316264276906,0.894544875024705
"RT","Flashing","Yes","No",0.829664877101038,0.0229577120929499,45.490288096092,0.784824935189297,0.877339000297466
"RT","Transparent","Yes","No",0.888327945579345,0.0247953811321964,45.8231764524715,0.839920822388106,0.939821610506567
"RT","Transparent_Flashing","Yes","No",0.828481884889058,0.0229540948808137,45.7699875869405,0.783657979285084,0.876142180611742
