condition,RT,NDRT,DALI,TRUST,SUS,DURVISIT,PUPIL
Baseline|No|No,0.276723693958984,0.7487286884593221,0.03764046368414137,0,0.12418730013860721,0.8360147140893671,0.8762149614875087
Flashing|No|No,0.3293974683536816,0.7249832334526022,0.09402928316648963,0.1187568141746634,0.22330988908426902,0.8247210445217079,0.7777341526944581
Transparent|No|No,0,1,0,0.008438024311238794,0,0.7395960300394131,0.17484234091312545
Transparent_Flashing|No|No,0.3797285333402142,0.8053878423567625,0.08215357267711766,0.21213134810566828,0.09744535446317984,0,0
Baseline|Yes|No,0.7968959231752047,0.059693871981579084,0.7279507404280293,0.840078856760526,0.7734604057484937,0.9472973590474796,0.782712388038549
Flashing|Yes|No,0.8575649204575326,0.14993416291501876,0.6938034210512731,0.7872075452130055,0.7513921816802778,0.8940626041971815,1
Transparent|Yes|No,0.6322000013935131,0.09063529604590924,0.8936578902243069,0.923336874026405,0.760267004772416,0.9480446470638668,0.5499050725735577
Transparent_Flashing|Yes|No,0.8621096016517116,0.08383524141471595,0.7177120180345212,0.8313004108782253,0.7637099026421537,0.861585522789594,0.7712870110868343
Baseline|No|Yes,0.5401430331137368,0.2553398494236657,0.558957797526895,0.6016321223574898,0.540651683353019,0.9585739325187947,0.9708713783742299
Flashing|No|Yes,0.6731007566554523,0.11812610063085871,0.6606691987065668,0.589594097621013,0.6149260368808449,0.6237556635738971,0.6328615479143973
Transparent|No|Yes,0.6565861173282391,0.17287059763259618,0.6211202679085589,0.5295309691664302,0.5088154035654543,0.9141733578156852,0.1725453986202096
Transparent_Flashing|No|Yes,0.439835062144719,0.863785803834463,0.7011118380205184,0.6655665704127288,0.7275230634021784,0.2520075388151618,0.16411845134645944
Baseline|Yes|Yes,0.9749686172212493,0.12370374058907772,0.849709356656969,0.9572948001781699,1,1,0.8879471013735566
Flashing|Yes|Yes,0.9291186818015357,0.10564304598580519,0.9634906444185481,0.9704274573391968,0.953027936711745,0.9618168118846134,0.8832076614516569
Transparent|Yes|Yes,1,0.19247706724494318,1,0.9891942179979141,0.9812496330849757,0.9595341338741575,0.8759417612065692
Transparent_Flashing|Yes|Yes,0.8445163073000748,0,0.9051262624066001,1,0.9756317121321532,0.9783407344014747,0.8834160658035303
