condition,RT,NDRT,DALI,TRUST,SUS,DURVISIT,PUPIL
Baseline|No|No,0.980859343332178,0.9287380620325156,22.066589091273492,3.584795785788341,45.14130553140889,336.2627713612575,3.383769243384799
Flashing|No|No,0.9671482242850769,0.9299947418996702,21.57250511085917,3.878049913809918,49.26873793160632,341.6995794229787,3.419764209508245
Transparent|No|No,1.0528912331032505,0.9154400393870308,22.396398267851893,3.605632362441347,39.97018670030048,382.6790292128663,3.640122577875984
Transparent_Flashing|No|No,0.9540469185266044,0.9257394916546148,21.676561169537145,4.108625883009334,44.02777960155666,738.722884971671,3.70402786272531
Baseline|Yes|No,0.8454571732439543,0.965203827013271,16.018027472399716,5.659258580372394,72.17682670953423,282.6909559638533,3.4179446528376487
Flashing|Yes|No,0.8296648771010375,0.9604280433195016,16.317229399892245,5.528699921713688,71.25791302898152,308.3183344345906,3.338525522070429
Transparent|Yes|No,0.8883279455793452,0.963566315132714,14.566086309132649,5.8648531597133395,71.6274577792361,282.3312091616663,3.5030362715616823
Transparent_Flashing|Yes|No,0.8284818848890577,0.9639261941810688,16.107740092046335,5.637581378011505,71.7708189279841,323.95290360275374,3.4221206548563647
Baseline|No|Yes,0.9122906113594964,0.9548496619373996,17.49875905460034,5.0704461432678505,62.482747145183765,277.2623780166994,3.3491721014546982
Flashing|No|Yes,0.8776813737139874,0.9621114202636112,16.60755447876946,5.040719845271968,65.57550709541592,438.4449460833197,3.4727154856521265
Transparent|No|Yes,0.8819801768363653,0.9592141792042118,16.954085818300822,4.892401953085243,61.157094797977834,298.6369543707119,3.6409621156603937
Transparent_Flashing|No|Yes,0.9384010343761506,0.9226488984252524,16.253192383692205,5.228323743347325,70.26401069861383,617.4056629264751,3.6440421846135247
Baseline|Yes|Yes,0.7991043926589141,0.9618162350233306,14.95116736948576,5.9487077333836185,81.60986181471918,257.31973879762904,3.379481118795558
Flashing|Yes|Yes,0.8110392488575782,0.962772060518708,13.954205346340254,5.98113708028997,79.65396035994233,275.70124568733144,3.3812133951804055
Transparent|Yes|Yes,0.7925886592956418,0.9581765467132428,13.634307042143757,6.02747909502832,80.82910262810142,276.8001340632672,3.38386909872695
Transparent_Flashing|Yes|Yes,0.8330614646905437,0.9683630036679414,14.465599385861022,6.05416253379043,80.59517422480741,267.7465774005783,3.381137222901993
