condition,score,rank,method,weight
Baseline|No|No,0.43017313327855167,13,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Flashing|No|No,0.4540390283671101,12,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Transparent|No|No,0.37683199583272303,15,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Transparent_Flashing|No|No,0.3370181734582022,16,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Baseline|Yes|No,0.5704109940687283,9,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Flashing|Yes|No,0.6091997871365381,6,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Transparent|Yes|No,0.5749944829973898,7,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Transparent_Flashing|Yes|No,0.5725674696425631,8,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Baseline|No|Yes,0.5404995342902146,10,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Flashing|No|Yes,0.47264603599987265,11,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Transparent|No|Yes,0.4253718943930239,14,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Transparent_Flashing|No|Yes,0.6366421807500033,5,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Baseline|Yes|Yes,0.6855832413986652,3,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Flashing|Yes|Yes,0.6864253874355731,2,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Transparent|Yes|Yes,0.7302304971513381,1,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Transparent_Flashing|Yes|Yes,0.6459854396382348,4,EWM,"0.0857898579019107,0.308297865421044,0.152793941372309,0.14691336154905,0.127501884190899,0.0638324389578371,0.114870650606951"
Baseline|No|No,0.4142156888311329,14,Equal,NA
Flashing|No|No,0.4418474122068389,13,Equal,NA
Transparent|No|No,0.27469662789482535,15,Equal,NA
Transparent_Flashing|No|No,0.22526380727756323,16,Equal,NA
Baseline|Yes|No,0.7040127921685516,6,Equal,NA
Flashing|Yes|No,0.7334235479306128,5,Equal,NA
Transparent|Yes|No,0.6854352551571392,8,Equal,NA
Transparent_Flashing|Yes|No,0.6987913869282509,7,Equal,NA
Baseline|No|Yes,0.6323099709525473,9,Equal,NA
Flashing|No|Yes,0.5590047717118615,10,Equal,NA
Transparent|No|Yes,0.5108060160053104,12,Equal,NA
Transparent_Flashing|No|Yes,0.5448497611394613,11,Equal,NA
Baseline|Yes|Yes,0.827660516574146,2,Equal,NA
Flashing|Yes|Yes,0.8238188913704431,3,Equal,NA
Transparent|Yes|Yes,0.8569138304869371,1,Equal,NA
Transparent_Flashing|Yes|Yes,0.7981472974348333,4,Equal,NA
Baseline|No|No,-0.6845182230370525,14,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Flashing|No|No,-0.578372955535422,13,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent|No|No,-1.0638890881718646,15,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent_Flashing|No|No,-1.1112395609227268,16,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Baseline|Yes|No,0.2948426931177322,6,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Flashing|Yes|No,0.3696837967316675,5,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent|Yes|No,0.2474654657143943,8,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
